id,date,user,pc,activity
{V9W3-R5LX97RP-9033XYJX},1/4/2010 8:29,GDM0015,PC-5640,Remove
{Q7V9-U8PD69IC-5881PUVG},1/4/2010 8:54,GDM0015,PC-5640,Insert
{W2L3-G5IE88GQ-6129MDHQ},1/4/2010 9:41,GDM0015,PC-5640,Remove
{X3A8-K5JQ92QR-5200SMQD},1/4/2010 10:12,GDM0015,PC-5640,Insert
{B6Q1-W6JY15EP-9207PBFE},1/4/2010 10:23,GDM0015,PC-5640,Remove
{J8J3-B9JT39QQ-2612DMHF},1/4/2010 10:31,GDM0015,PC-5640,Insert
{E5L3-Y6XE77NF-8402ZSDU},1/4/2010 11:26,GDM0015,PC-5640,Remove
{H7M9-G9XA75HH-6979RJHF},1/4/2010 11:41,GDM0015,PC-5640,Insert
{G7P1-I2JW19DT-1754HMTM},1/4/2010 12:02,GDM0015,PC-5640,Remove
{P3O6-K7CB73FZ-1315JNTW},1/4/2010 12:04,GDM0015,PC-5640,Insert
{V5V6-M2AF08NA-5192UTWY},1/4/2010 12:05,GDM0015,PC-5640,Remove
{S5I6-M4IW98IX-1621WSFM},1/4/2010 12:55,GDM0015,PC-5640,Insert
{C8B1-N5NQ14NJ-7375ZTIA},1/4/2010 14:43,GDM0015,PC-5640,Remove
{P1Z2-C5NT68IU-9124EKAI},1/4/2010 15:07,GDM0015,PC-5640,Insert
{P9P0-R5LT57WJ-0569QSXL},1/4/2010 15:13,GDM0015,PC-5640,Remove
{S6P5-D1FR66WT-0055JUOU},1/4/2010 16:45,GDM0015,PC-5640,Insert
{P4T3-T1TN34TF-8112OSKQ},1/4/2010 17:02,GDM0015,PC-5640,Remove
{M0M1-B6ZZ39XQ-7801OUPN},1/4/2010 17:11,GDM0015,PC-5640,Insert
{X0N1-U4VW70UU-2584AKBM},1/4/2010 17:57,GDM0015,PC-5640,Remove
{E7L6-R4BA61QE-5238IBDN},1/4/2010 9:01,BBL0018,PC-1960,Insert
{L1V3-A3LZ74GZ-6494EWDE},1/4/2010 14:35,BBL0018,PC-1960,Remove
{N6P3-M8NQ08ZT-5001NVXV},1/4/2010 15:59,BBL0018,PC-1960,Insert
{K3L3-B6HF72KA-4012HXXH},1/4/2010 17:07,BBL0018,PC-1960,Remove
{I8W9-S8DQ25QR-8278QWBN},1/4/2010 17:15,BBL0018,PC-1960,Insert
{C9X2-L7DU91RV-0071JMQD},1/4/2010 17:20,BBL0018,PC-1960,Remove
{W0L7-P7TN00WK-8978RLWE},1/4/2010 7:17,DCW0021,PC-3621,Insert
{X4R7-Q7IB17MU-0005YWTJ},1/4/2010 7:27,DCW0021,PC-3621,Remove
{D5X8-H6FL76AR-0614SRYB},1/4/2010 8:01,DCW0021,PC-3621,Insert
{V2Z8-S4ZD50MT-9542GATI},1/4/2010 8:37,DCW0021,PC-3621,Remove
{E2Y1-U9BP70ZS-6543FHFX},1/4/2010 8:45,DCW0021,PC-3621,Insert
{U1N2-X4ZY66LP-3432YKTL},1/4/2010 8:57,DCW0021,PC-3621,Remove
{N3Q8-V5XY96NH-6985ZKNQ},1/4/2010 10:13,DCW0021,PC-3621,Insert
{I6D9-S8EW90ID-9316XRVR},1/4/2010 10:15,DCW0021,PC-3621,Remove
{B4Q2-L3VX97FL-3984XZGU},1/4/2010 10:55,DCW0021,PC-3621,Insert
{K5K8-S8IK84CR-9650GZSZ},1/4/2010 11:30,DCW0021,PC-3621,Remove
{U2Q0-L5PD21IU-1265JCKQ},1/4/2010 11:32,DCW0021,PC-3621,Insert
{E7T0-W8OB09ID-8702IHRY},1/4/2010 12:06,DCW0021,PC-3621,Remove
{Q3Z2-V9GF41QQ-8037DMPG},1/4/2010 12:42,DCW0021,PC-3621,Insert
{D0H3-N6SS37FI-5613YAAX},1/4/2010 13:58,DCW0021,PC-3621,Remove
{G1Q8-E5FT06VZ-0704VZAW},1/4/2010 14:30,DCW0021,PC-3621,Insert
{X8I1-N8KU58IG-3100HLYS},1/4/2010 14:32,DCW0021,PC-3621,Remove
{F8P2-A2IP80OI-8631NHQS},1/4/2010 14:57,DCW0021,PC-3621,Insert
{P6V6-S8NX68MM-9269ZFHJ},1/4/2010 15:07,DCW0021,PC-3621,Remove
{C5R3-A6XF99TY-8340VQWC},1/4/2010 9:32,AMP0031,PC-4636,Insert
{B0J2-V9AV56GP-9551EVPW},1/4/2010 9:50,AMP0031,PC-4636,Remove
{X5W7-J5CQ41EZ-7664OORM},1/4/2010 9:52,AMP0031,PC-4636,Insert
{E6O0-D1UX55QE-9106ESGS},1/4/2010 11:14,AMP0031,PC-4636,Remove
{N1N6-F5ZR23LG-8547ZVBQ},1/4/2010 12:47,AMP0031,PC-4636,Insert
{U9B8-D3XO45PY-1675UQVR},1/4/2010 13:48,AMP0031,PC-4636,Remove
{N1W7-Q8PA01KR-7448MDDO},1/4/2010 14:07,AMP0031,PC-4636,Insert
{M3S4-K0XX20CA-3113VCAU},1/4/2010 14:09,AMP0031,PC-4636,Remove
{C2T8-G6ON83SJ-7420GORY},1/4/2010 9:29,HBN0033,PC-4829,Insert
{W1W0-E2YF76HU-4879TGUZ},1/4/2010 9:43,HBN0033,PC-4829,Remove
{W8J5-M8QS98VC-8812IHTI},1/4/2010 10:32,HBN0033,PC-4829,Insert
{C6Q1-L1QB24AU-4405HNVX},1/4/2010 10:36,HBN0033,PC-4829,Remove
{T0V7-D4XZ78RC-5716VJBN},1/4/2010 10:50,HBN0033,PC-4829,Insert
{I4G5-R3TF36AP-5615ZJOA},1/4/2010 10:51,HBN0033,PC-4829,Remove
{X9D7-F1MB71HG-7244BJWS},1/4/2010 11:37,HBN0033,PC-4829,Insert
{Z5G3-Q1WU41QS-3175WMKM},1/4/2010 13:14,HBN0033,PC-4829,Remove
{K7D6-L4AU51OM-6647DVCZ},1/4/2010 13:24,HBN0033,PC-4829,Insert
{O4W1-M8MN09IK-3975HEIU},1/4/2010 13:42,HBN0033,PC-4829,Remove
{V1R6-G1ZM48PS-8628ETQV},1/4/2010 15:28,HBN0033,PC-4829,Insert
{K4Y6-U6MW36KR-5754AUYW},1/4/2010 15:43,HBN0033,PC-4829,Remove
{D8H0-T0QC80JI-3717NDLD},1/4/2010 10:39,YIS0037,PC-7840,Insert
{R1H9-V5JY78ET-1107YUHA},1/4/2010 11:36,YIS0037,PC-7840,Remove
{Y2F5-V5UW60NQ-2238SNQK},1/4/2010 14:52,YIS0037,PC-7840,Insert
{T5H0-W3UI46PU-7228BIRV},1/4/2010 15:43,YIS0037,PC-7840,Remove
{K1O3-Q9NW94QG-8606AVXI},1/4/2010 7:17,JLH0041,PC-5579,Insert
{H9V9-Z6GR98WC-4601BEZS},1/4/2010 8:26,JLH0041,PC-5579,Remove
{B7K9-R7KC36QQ-6675KEQS},1/4/2010 7:03,MHV0044,PC-9452,Insert
{X5E3-L6KB55CO-0299LMAL},1/4/2010 7:25,MHV0044,PC-9452,Remove
{S6E3-K2ID76CJ-9361UGYF},1/4/2010 8:17,MHV0044,PC-9452,Insert
{V3Y8-C4BI61FV-9171WRMT},1/4/2010 9:37,MHV0044,PC-9452,Remove
{L9V8-C0JY22SS-5841FWTJ},1/4/2010 10:10,MHV0044,PC-9452,Insert
{H5A0-K2CE27QI-0004OLYW},1/4/2010 11:50,MHV0044,PC-9452,Remove
{E9F6-J1YY97LQ-6078KSSP},1/4/2010 11:54,MHV0044,PC-9452,Insert
{V7Y8-B8SP60YC-9048QZBI},1/4/2010 12:58,MHV0044,PC-9452,Remove
{O8K2-G0RZ48SC-3839PDVH},1/4/2010 13:07,MHV0044,PC-9452,Insert
{I2C2-F5AC51SE-2715JJGV},1/4/2010 15:04,MHV0044,PC-9452,Remove
{J2O5-E4UM00ZT-3959LTMF},1/4/2010 15:19,MHV0044,PC-9452,Insert
{B5T5-O2MY43BF-2748YDRC},1/4/2010 16:10,MHV0044,PC-9452,Remove
{M5T3-Q1RF65VF-5472DRMM},1/4/2010 9:19,KCM0045,PC-1783,Insert
{N1Q3-O9AI50ZG-6006YLXF},1/4/2010 9:36,KCM0045,PC-1783,Remove
{Y4S3-D7XL86WH-5295ZLOQ},1/4/2010 10:11,KCM0045,PC-1783,Insert
{I3F5-N6HZ65CR-8333OMXB},1/4/2010 10:41,KCM0045,PC-1783,Remove
{O8N8-C0LM80IU-8026HVTH},1/4/2010 11:17,KCM0045,PC-1783,Insert
{M1X2-W5UC44ZW-2175SIZQ},1/4/2010 11:59,KCM0045,PC-1783,Remove
{N2S4-F2VK53CL-0967QUPF},1/4/2010 13:12,KCM0045,PC-1783,Insert
{F7B6-V0XV04SO-9977IYMH},1/4/2010 13:49,KCM0045,PC-1783,Remove
{N7S6-P8JN48PN-4909SMCX},1/4/2010 15:12,KCM0045,PC-1783,Insert
{S4C9-K6UB47XK-8747VQXD},1/4/2010 15:35,KCM0045,PC-1783,Remove
{A6W2-J5MU93DG-8841UIUA},1/4/2010 8:27,XJH0047,PC-1519,Insert
{K5G3-F2VT68DP-2868WDYD},1/4/2010 9:31,XJH0047,PC-1519,Remove
{S3D1-L6DF11GM-3996URJT},1/4/2010 9:42,XJH0047,PC-1519,Insert
{R4X8-W9ML35OB-9049VUTQ},1/4/2010 10:45,XJH0047,PC-1519,Remove
{C7I0-E9YF49WQ-0486AWML},1/4/2010 11:38,XJH0047,PC-1519,Insert
{X9J8-Z2LK47BY-7270NPOF},1/4/2010 11:43,XJH0047,PC-1519,Remove
{Q8I9-C9RE67TM-0050TLMI},1/4/2010 11:58,XJH0047,PC-1519,Insert
{T9X4-U0MY04EZ-3382TPUD},1/4/2010 12:36,XJH0047,PC-1519,Remove
{S1E4-R5WB51JK-4951OLMB},1/4/2010 14:28,XJH0047,PC-1519,Insert
{Y9U9-U2XU27PH-7889UTGD},1/4/2010 15:06,XJH0047,PC-1519,Remove
{C8H9-E4GX24ER-7860KWXY},1/4/2010 15:10,XJH0047,PC-1519,Insert
{I9D9-T2ZX75TN-0123IFPW},1/4/2010 15:41,XJH0047,PC-1519,Remove
{T7P0-P4AS88VH-2462LDCB},1/4/2010 8:08,NSP0048,PC-6053,Insert
{K8M3-W5JL39MV-1425IHTS},1/4/2010 8:10,NSP0048,PC-6053,Remove
{T6W5-I3GO59RT-6992MFER},1/4/2010 9:18,NSP0048,PC-6053,Insert
{Z3S7-N9BZ37CE-1550ESMR},1/4/2010 10:19,NSP0048,PC-6053,Remove
{G5G0-L4UK53KG-2091LTEY},1/4/2010 10:33,NSP0048,PC-6053,Insert
{E0H4-X0IQ78KF-0277AGLW},1/4/2010 11:46,NSP0048,PC-6053,Remove
{O8E2-E9WV08RK-0054KYRA},1/4/2010 12:01,NSP0048,PC-6053,Insert
{Z2E0-O7EA69ZV-1733TXSW},1/4/2010 12:19,NSP0048,PC-6053,Remove
{Z8E8-I9HL44EC-0845UFSN},1/4/2010 12:45,NSP0048,PC-6053,Insert
{B5S2-B3QU36DJ-5599NKBI},1/4/2010 13:11,NSP0048,PC-6053,Remove
{A8G2-C4NP29HR-0533HDBP},1/4/2010 13:44,NSP0048,PC-6053,Insert
{D2Q5-Q1WS58EQ-3916BGXO},1/4/2010 13:55,NSP0048,PC-6053,Remove
{A8S8-D0VY89AV-0794KJKT},1/4/2010 14:05,NSP0048,PC-6053,Insert
{U1T0-W0CM86RR-6649VZHP},1/4/2010 14:46,NSP0048,PC-6053,Remove
{O2I2-K7QV89TY-2597UHDS},1/4/2010 14:51,NSP0048,PC-6053,Insert
{K7I9-O2CN45ZF-0798UKJC},1/4/2010 15:37,NSP0048,PC-6053,Remove
{D4R4-R4ZT00YX-6584RGUI},1/4/2010 16:30,NSP0048,PC-6053,Insert
{M3Z7-N9BG82YU-8734IFKF},1/4/2010 16:51,NSP0048,PC-6053,Remove
{L2W4-C2ZI00XO-1007VEKW},1/4/2010 7:29,ESM0050,PC-5314,Insert
{M4S1-Z4AO18ZL-9608UFCV},1/4/2010 7:35,ESM0050,PC-5314,Remove
{Z0Y1-M2UJ54NN-7476LMGX},1/4/2010 8:41,ESM0050,PC-5314,Insert
{X1V6-E3RR11MS-1257YCPY},1/4/2010 9:50,ESM0050,PC-5314,Remove
{N7D0-M6GN26YZ-3109MJEO},1/4/2010 10:09,ESM0050,PC-5314,Insert
{O0O2-Y0FR90II-4184EBGB},1/4/2010 10:57,ESM0050,PC-5314,Remove
{N4N7-O5SE87SH-1919SIBD},1/4/2010 11:13,ESM0050,PC-5314,Insert
{B6S4-J9GQ45OZ-7719ILGJ},1/4/2010 11:27,ESM0050,PC-5314,Remove
{O1M6-E9RY70TM-8952WELI},1/4/2010 11:39,ESM0050,PC-5314,Insert
{Q9G6-E7TU73FI-9030CICZ},1/4/2010 12:59,ESM0050,PC-5314,Remove
{H7B8-W7GA86DA-6972ZHTH},1/4/2010 13:36,ESM0050,PC-5314,Insert
{D9G1-V0EC50YR-4106BSHH},1/4/2010 13:40,ESM0050,PC-5314,Remove
{U8G9-Q4NE54MM-8143PKDD},1/4/2010 7:32,XDB0054,PC-5634,Insert
{B0S8-A2TP83BS-8652UMLL},1/4/2010 7:56,XDB0054,PC-5634,Remove
{X6N5-G9JT69VP-3867JYWF},1/4/2010 7:56,XDB0054,PC-5634,Insert
{F8M0-Q6YE19YO-7660TWYI},1/4/2010 7:58,XDB0054,PC-5634,Remove
{R2H3-B6LV61BJ-8896XHPO},1/4/2010 8:27,XDB0054,PC-5634,Insert
{I3D1-Q3DF45LK-7809XCHO},1/4/2010 9:23,XDB0054,PC-5634,Remove
{I3E4-D2GN60NW-2270WWQM},1/4/2010 9:24,XDB0054,PC-5634,Insert
{I7M0-B4XC17CM-1404WUJK},1/4/2010 10:08,XDB0054,PC-5634,Remove
{Z7S5-P2NB84CB-4121BRQT},1/4/2010 10:10,XDB0054,PC-5634,Insert
{D4H7-O4WQ42GQ-8816ZDOR},1/4/2010 10:34,XDB0054,PC-5634,Remove
{J9K4-N4KN61RB-2004SWJE},1/4/2010 11:00,XDB0054,PC-5634,Insert
{C2F4-O7UK04LZ-4573CGPP},1/4/2010 11:41,XDB0054,PC-5634,Remove
{P2C6-A5WH01JV-4919POMD},1/4/2010 12:12,XDB0054,PC-5634,Insert
{O7Y9-X9SD90OZ-0379IKNW},1/4/2010 12:20,XDB0054,PC-5634,Remove
{B0W4-K0DM08KI-9868CLRV},1/4/2010 12:44,XDB0054,PC-5634,Insert
{W0D9-B5HZ09JP-5920YDRE},1/4/2010 13:00,XDB0054,PC-5634,Remove
{D4O0-A9PP92MO-6747EVLV},1/4/2010 13:20,XDB0054,PC-5634,Insert
{J7I3-O5ET98DJ-4637SUVG},1/4/2010 14:04,XDB0054,PC-5634,Remove
{L5F3-A1UV03DY-1602DOKY},1/4/2010 15:00,XDB0054,PC-5634,Insert
{D0B8-F2IU11TN-1143WLHW},1/4/2010 15:42,XDB0054,PC-5634,Remove
{S9X9-V8NC01UM-8988KCBY},1/4/2010 10:18,BCG0056,PC-3782,Insert
{S8W6-Y2OM36BA-1281MKRI},1/4/2010 11:49,BCG0056,PC-3782,Remove
{K3A9-D3MJ54TP-5753NKEG},1/4/2010 12:10,BCG0056,PC-3782,Insert
{V4T7-W5YD75NC-3022NHNC},1/4/2010 15:50,BCG0056,PC-3782,Remove
{V4D1-P2XY80YF-9722AOAU},1/4/2010 15:55,BCG0056,PC-3782,Insert
{P3F7-U4SB06IE-0904KXQE},1/4/2010 16:42,BCG0056,PC-3782,Remove
{O9R2-S5HY29EC-6225OTRL},1/4/2010 7:19,NHP0057,PC-2581,Insert
{K4V0-F7LY76NR-1731MUNM},1/4/2010 7:37,NHP0057,PC-2581,Remove
{S9T9-N9YO18XR-0402TTNA},1/4/2010 8:19,NHP0057,PC-2581,Insert
{X9P2-W4QB50OK-6235BTOL},1/4/2010 8:27,NHP0057,PC-2581,Remove
{W4J7-I1ZH98PH-3049RXPC},1/4/2010 9:00,NHP0057,PC-2581,Insert
{I3Q1-T8WB24TQ-6979QBYP},1/4/2010 9:13,NHP0057,PC-2581,Remove
{D5R5-N7FS46PJ-9944PNGM},1/4/2010 9:14,NHP0057,PC-2581,Insert
{C6Y4-M4RT30UD-4355JZEO},1/4/2010 9:36,NHP0057,PC-2581,Remove
{L1B3-I6XI33AB-7128NRNE},1/4/2010 9:43,NHP0057,PC-2581,Insert
{W9W2-J8OE04BU-1729LBIZ},1/4/2010 9:53,NHP0057,PC-2581,Remove
{E5D8-L5FM79BK-3531VKYG},1/4/2010 9:55,NHP0057,PC-2581,Insert
{G6P8-I1OH31UW-0868BAMF},1/4/2010 10:02,NHP0057,PC-2581,Remove
{R9A7-D7LN24OV-8230ICYK},1/4/2010 10:45,NHP0057,PC-2581,Insert
{K1N8-Z4LM82ML-4270DZNZ},1/4/2010 11:39,NHP0057,PC-2581,Remove
{I6J6-K6XH92QA-9912YNYQ},1/4/2010 12:39,NHP0057,PC-2581,Insert
{V5W7-D1QJ36KW-1946FZLJ},1/4/2010 12:49,NHP0057,PC-2581,Remove
{R7S1-L7CE53ME-9306OJIR},1/4/2010 13:07,NHP0057,PC-2581,Insert
{U8C0-T7XL42XA-4521RECP},1/4/2010 13:32,NHP0057,PC-2581,Remove
{X6D6-O7TL29BY-8983UWGZ},1/4/2010 13:55,NHP0057,PC-2581,Insert
{J1J9-X1MP49NP-6668EGWY},1/4/2010 14:51,NHP0057,PC-2581,Remove
{D5J3-X9TF83TC-8503GDKG},1/4/2010 7:17,DKP0058,PC-8061,Insert
{H7W4-A6HN59BT-8206IUWP},1/4/2010 8:16,DKP0058,PC-8061,Remove
{Y3Q6-P6SP51ZS-1088HWTU},1/4/2010 8:21,DKP0058,PC-8061,Insert
{Y7I5-V9LT66YH-6893TWNV},1/4/2010 8:50,DKP0058,PC-8061,Remove
{D7P0-L3CX70UK-6861CQAU},1/4/2010 10:53,DKP0058,PC-8061,Insert
{O0M6-Z1AO43JQ-1710BKMY},1/4/2010 11:08,DKP0058,PC-8061,Remove
{Q3G6-S6KY57FO-7024TADY},1/4/2010 11:42,DKP0058,PC-8061,Insert
{C7N2-F8QZ21YH-5974UDNK},1/4/2010 11:44,DKP0058,PC-8061,Remove
{L6B0-H4LT70DH-4388AIGI},1/4/2010 12:21,DKP0058,PC-8061,Insert
{U3D4-Z2EE87FD-4826BUZG},1/4/2010 12:39,DKP0058,PC-8061,Remove
{N8S3-Z0WE94PS-0173MJHQ},1/4/2010 13:32,DKP0058,PC-8061,Insert
{B3T3-O6ZG69LD-6406LUBA},1/4/2010 13:38,DKP0058,PC-8061,Remove
{R9B1-A5GD06PN-4938MTDA},1/4/2010 13:40,DKP0058,PC-8061,Insert
{H2N6-U0BS51TR-2143OYRF},1/4/2010 13:47,DKP0058,PC-8061,Remove
{I7Z6-H7YC94GG-2759FKEO},1/4/2010 7:56,FWM0066,PC-2212,Insert
{I3T7-E2GR31AT-5611RFKB},1/4/2010 15:56,FWM0066,PC-2212,Remove
{H9M2-X8UO58KA-7651HBLI},1/4/2010 7:37,GSH0070,PC-5143,Insert
{C1L6-K8EB94KZ-4761MZNS},1/4/2010 12:01,GSH0070,PC-5143,Remove
{H4Y0-M4LX93TD-2953MWBO},1/4/2010 13:35,GSH0070,PC-5143,Insert
{D2R6-L7VA93BR-2427CQDC},1/4/2010 13:46,GSH0070,PC-5143,Remove
{G1M6-C0SR48YI-0689GEKS},1/4/2010 7:29,BAC0081,PC-6369,Insert
{U0O5-K2WK98TA-1164LJCY},1/4/2010 7:31,BAC0081,PC-6369,Remove
{Z5I5-E8YI04TU-6942NNBW},1/4/2010 7:32,BAC0081,PC-6369,Insert
{E0W8-X9HV43RU-6482UMJW},1/4/2010 7:56,BAC0081,PC-6369,Remove
{D3A8-E1LH39JZ-8984HPZJ},1/4/2010 8:41,BAC0081,PC-6369,Insert
{J7R8-Z1IS33PE-6337LYCT},1/4/2010 9:10,BAC0081,PC-6369,Remove
{E4F9-M3ZD07HJ-8202CXII},1/4/2010 9:11,BAC0081,PC-6369,Insert
{H1T8-F6VF58UI-8283GJMT},1/4/2010 9:56,BAC0081,PC-6369,Remove
{C4L5-X3JR83BW-5139UJEZ},1/4/2010 10:50,BAC0081,PC-6369,Insert
{V1P9-R6BF23PX-5365FCRJ},1/4/2010 11:25,BAC0081,PC-6369,Remove
{Y6F1-S8BR74CM-1943BAYT},1/4/2010 11:26,BAC0081,PC-6369,Insert
{P5N7-F6EL56XA-5256SMDH},1/4/2010 12:09,BAC0081,PC-6369,Remove
{X7B5-Q7BK63OZ-3669LMPO},1/4/2010 12:48,BAC0081,PC-6369,Insert
{C3P6-V0SE70KT-9752ZBER},1/4/2010 14:02,BAC0081,PC-6369,Remove
{F4T9-W9HK08RF-0318HRML},1/4/2010 14:28,BAC0081,PC-6369,Insert
{Z3S5-Z2FF02DG-9578BDMD},1/4/2010 14:31,BAC0081,PC-6369,Remove
{C5Y8-I9EO58YE-4433ZCVU},1/4/2010 14:48,BAC0081,PC-6369,Insert
{E5X0-K5KJ31MT-4829RJLZ},1/4/2010 14:53,BAC0081,PC-6369,Remove
{E2U5-J7TU59RO-9863DLPR},1/4/2010 10:06,AEM0084,PC-4517,Insert
{J5L0-I2OY24OJ-1980WCUB},1/4/2010 10:16,AEM0084,PC-4517,Remove
{Y7T6-X7LL62PJ-6184GEHL},1/4/2010 11:35,AEM0084,PC-4517,Insert
{B0H3-X1PB00DJ-8157QKZS},1/4/2010 11:54,AEM0084,PC-4517,Remove
{J3V5-S1WX66QR-7945XNEZ},1/4/2010 11:58,AEM0084,PC-4517,Insert
{H9N1-Q2XU72TB-5293PLOU},1/4/2010 12:38,AEM0084,PC-4517,Remove
{U5L6-D5CE50US-1128SJSE},1/4/2010 12:52,AEM0084,PC-4517,Insert
{F9V3-L0NL01AD-7378KMFC},1/4/2010 13:15,AEM0084,PC-4517,Remove
{Z0E2-U4EX08IP-6618VLXO},1/4/2010 14:19,AEM0084,PC-4517,Insert
{X1Z1-I8BE67MG-4711DZER},1/4/2010 14:37,AEM0084,PC-4517,Remove
{I3B9-Y0QF71MK-2072AVWQ},1/4/2010 14:50,AEM0084,PC-4517,Insert
{Z7G2-O8WU73JM-4143LHFY},1/4/2010 16:38,AEM0084,PC-4517,Remove
{N9U8-O1ES76DC-8031XRPA},1/4/2010 16:56,AEM0084,PC-4517,Insert
{N3T4-E8TO55TT-8846AUCA},1/4/2010 17:09,AEM0084,PC-4517,Remove
{M0M3-Z8IL58YY-3136SEAD},1/4/2010 18:15,AEM0084,PC-4517,Insert
{O5D5-W8JT92KR-0459PRMG},1/4/2010 18:45,AEM0084,PC-4517,Remove
{S9Q4-N9ZZ18NH-7818KCEB},1/4/2010 8:22,HCH0089,PC-2597,Insert
{C1J6-O8EU12HG-8706ECJJ},1/4/2010 8:27,HCH0089,PC-2597,Remove
{J5F4-B2YS82MV-3974JWYN},1/4/2010 8:38,HCH0089,PC-2597,Insert
{N7P9-E2KM52FN-5295PWIU},1/4/2010 9:23,HCH0089,PC-2597,Remove
{B3U9-G1EZ65TW-4429BCJR},1/4/2010 11:30,HCH0089,PC-2597,Insert
{N3H2-O8RI38UG-5563YFIR},1/4/2010 12:46,HCH0089,PC-2597,Remove
{X2G2-C8MM47NY-3681PWVE},1/4/2010 13:23,HCH0089,PC-2597,Insert
{V1T8-F2AC15QR-7517LOZA},1/4/2010 16:28,HCH0089,PC-2597,Remove
{U8O2-C9ID08BF-9984FIPM},1/4/2010 16:44,HCH0089,PC-2597,Insert
{V3H0-E2ZP76ZY-8897KNZY},1/4/2010 17:13,HCH0089,PC-2597,Remove
{P0O0-J5PR08YI-4610ZVRJ},1/4/2010 9:12,WAW0096,PC-8554,Insert
{R5P6-Q2JT45ZP-6263NJKH},1/4/2010 9:56,WAW0096,PC-8554,Remove
{T2N4-E3LN34IN-1829LYVV},1/4/2010 11:32,WAW0096,PC-8554,Insert
{Y8X2-K4ZN59JC-2643NMOE},1/4/2010 12:03,WAW0096,PC-8554,Remove
